,molecular_weight,chemostat_0.5_mean,chemostat_0.35_mean,chemostat_0.2_mean,chemostat_0.12_mean,chemostat_0.5_uncertainty,chemostat_0.35_uncertainty,chemostat_0.2_uncertainty,chemostat_0.12_uncertainty
P08550,17877.46152,18,21,19,22,35.1,10.93,13.53,13.9
P0A9W0,27566.3263,23,18,23,20,26.89,20.73,24.94,32.01
P32160,21731.32189,11,5,8,4,43.56,44.32,30.18,18.21
P07013,11416.79899,10,8,5,5,79.76,6.56,35.51,23.9
P27242,41684.92104,8,4,5,3,31.12,4.67,10.46,25.05
P65294,7853.82589,65,45,135,49,13.94,19.54,39.72,34.94
P24230,76364.17226,7,6,6,4,20.28,27.18,43.6,22.45
P03813,25213.74597,72,69,53,60,16.96,23.67,10.78,25.06
P22939,32121.51571,5,5,3,3,19.35,4.02,13.04,28.41
P41039,9731.70726,3,0,3,0,105.42,170.8,85.9,161.92
P0AES2,49091.57737,1,1,1,1,16.48,19.14,87,28.47
P75746,25766.06281,12,10,11,8,21.33,16.57,20.08,31.8
D4HZR9,32800.6034,2,1,1,3,32.81,18.11,61.13,36.45
P42596,42286.79116,7,3,3,3,40.26,43.31,39.8,39.22
P76575,7970.746,93,80,94,66,13.17,14.93,20.75,24.9
P0A8P8,34207.09259,5,4,1,1,71.93,69.5,111.85,95.43
P37590,9845.97225,1,1,5,3,131.8,83.45,96.3,35.96
P0AFW2,6485.25379,94,83,124,88,9.72,35.62,26.05,25.64
P32177,30522.51058,1,1,1,1,16.29,27.56,16.1,30.4
P76537,20866.10587,26,31,27,22,8.38,24.54,20.41,31.33
P0A843,7001.88159,16,11,7,10,40.32,29.66,21.49,24.26
Q6BEX0,55207.40745,2,2,4,13,30.31,24.22,49.08,16.85
P33015,38057.23736,9,9,4,2,66.12,68.29,90.77,28.1
P77562,40370.90189,0,0,0,0,66.54,42,103.64,160.15
P14376,106420.8268,2,1,2,1,43.34,49.36,26.64,75.16
P51020,36429.23282,6,9,6,4,23.68,3.66,2.41,42.89
P45468,37213.82031,12,12,10,13,12.51,5.77,24.97,15.11
P63340,45051.36046,0,0,0,0,0.98,0.43,164.2,1.62
P23522,27349.15986,13,13,12,19,58.04,20.6,25.02,6.55
P0AGF4,53554.83908,0,0,0,0,92.17,119.96,116.39,128.83
P0A8Y1,25266.64985,31,12,9,7,40.41,7.57,25.25,33.38
P46474,138949.1541,3,2,2,2,5.19,22.8,24.09,37.44
P0C7L2,42231.81571,8,6,7,5,7.49,20.39,7,23.75
P0AD40,8391.61238,27,20,18,11,24.66,10.63,39.74,31.3
P31129,33823.93182,1,1,0,0,44.96,41.4,88.21,141.03
P69681,44467.44027,1,2,3,29,62.63,34.97,87.77,17.42
P0AE45,49712.72916,46,47,36,38,22.77,11.54,34.62,8.34
P75767,32749.41328,4,3,2,1,17.55,7.58,14.16,20.02
P0AFA9,30324.07493,2,1,1,1,18.04,41.6,26.53,66.99
P0AB96,15825.29134,11,10,3,2,99.22,54.78,63.4,52.21
P64490,10810.35946,10,10,9,5,16.58,24.83,3.49,4.95
P0ABJ6,12003.07821,61,39,68,28,48.53,19.58,39.36,51.75
P50465,29808.48926,0,0,0,0,60.39,98.87,149.52,142.06
P0AEB5,38711.59081,9,7,6,5,8.38,17.51,8.89,12
P17802,39105.98291,2,1,1,1,7.91,21.68,31.57,5.33
P37182,17721.47511,4,17,6,6,68.39,20.96,43.48,31
P76172,10452.12564,2,4,2,2,50.1,3.66,39.64,59.18
P55135,48003.82899,1,2,1,1,34.97,45.82,15.38,91.4
P0AD37,12693.80872,18,16,8,4,16.9,3.16,14.61,18.52
P0AD65,70794.43784,11,7,7,5,8.17,24.76,33.94,26.85
P18392,49233.45324,4,5,5,5,42.85,19.19,14.08,11.11
Q46802,66036.49819,4,8,7,7,20.34,13.31,9.31,10.28
P0A8P6,33828.69989,15,12,7,5,14.85,16.8,19.72,10.48
P05704,58844.23824,1,6,2,0,30.38,7.66,24.77,40.98
Q2A0K9,53429.92251,0,0,0,0,121.25,170.38,90.54,89.28
P76076,11852.35305,9,7,5,4,27.95,83.35,29.94,10.12
P76079,27842.07375,1,0,2,4,40.36,154.36,68.08,50.16
P0AG71,54712.72213,3,3,3,4,6.64,14.2,14.99,11.53
P37052,16960.9477,3,2,1,1,22.03,16.53,51.56,41.64
P67699,10376.46353,50,47,24,30,34.17,28.76,16.68,21.62
P25798,60534.19533,1,2,1,0,32.83,16.06,38.64,38.31
P76078,10917.31304,0,0,0,0,0.14,114.37,143.59,143.65
P31697,26653.86317,0,0,0,1,127.31,163.24,84.49,83.32
P0A8H8,7283.40821,54,47,22,22,8.23,5.97,63.84,48.58
P52062,42539.39821,0,0,0,0,48.35,164.36,0.31,125.91
P07021,17215.72613,3,3,1,2,68.66,19.78,125.06,65.82
P0A9T6,13144.90646,32,24,16,11,9.36,18.29,27.32,20.46
P05523,30252.88552,0,0,0,0,127.29,147.93,143.21,150.06
P27243,46829.57412,15,1,4,3,25.29,154.25,71.86,88.16
P38104,45920.60727,0,1,1,0,94.59,67.18,132.19,81.2
P60955,33068.23984,18,13,11,10,12.78,9.27,19.05,10.17
P0ABT5,35825.34133,9,8,9,5,20.68,25.87,32.67,3.42
P0AD01,27452.90703,4,6,7,12,24.65,32.94,13.91,21.41
P09155,42688.91983,3,6,3,1,80.9,74.67,81.61,57.8
P27250,36460.44988,3,3,4,1,69.49,25.45,87.44,123.2
P0AFT5,27364.42848,9,9,8,7,15.06,30.2,10.87,10.73
P37348,31441.29762,0,0,0,1,49.33,34.41,48.71,91.85
P0ACS9,24732.72124,14,8,12,5,57.84,27.47,65.9,9.51
P77398,74224.11717,4,4,3,3,10.81,9.56,31.64,6.28
P77293,34595.50641,4,2,3,1,89.37,58.78,69.05,35.11
P52613,17277.71067,13,15,23,12,40.51,20.19,76.48,81.8
P0AEM4,10316.29653,57,75,40,13,24.6,14.06,16.67,36.07
P0AE14,32083.28877,5,5,9,15,34.52,39.97,16.21,24.94
P08368,26090.80672,6,5,6,5,13.53,25.89,20.14,24.2
P0AAA9,15171.31795,0,0,0,0,0.2,0.81,0.18,0.47
P28905,16604.45096,2,1,2,3,41.7,62.93,66.21,34.95
P76398,111988.6069,1,1,1,1,25.38,51.93,41.66,44.41
P21517,69110.27189,1,1,1,0,32.43,45.4,28.93,48.47
P75952,23328.58824,4,5,4,4,23.46,16.51,54.6,20.38
P0AGC0,50555.451,0,99,66,25,86.94,12.74,12.95,18.33
P38506,28130.36423,2,2,2,1,14.35,21.11,63.77,54.64
P67660,33217.50249,4,3,3,2,8.81,36.15,41.4,67.59
P0AAS9,7444.44419,0,3,1,0,72.96,26.87,125.71,130.4
P0AG76,44667.82748,5,3,2,1,76.51,122.81,78.56,87.33
P23305,26693.89682,9,7,5,3,7.63,23.39,16.76,14.34
P0A6L7,54756.14891,4,5,6,4,35.43,21.51,11.81,26.33
P0AFI5,33847.68281,0,0,0,0,0.99,131.19,120.07,78.29
P76446,58532.56207,6,6,6,7,7.25,22.86,12.69,24.27
P0AC78,40912.09384,9,4,3,3,73.72,9.76,98.69,97.28
P11350,25462.37681,0,0,0,0,0.13,1.04,0.67,2.22
P37147,17662.46555,31,34,46,12,72.02,25.24,87.82,16.01
P33607,66376.18893,9,4,5,4,25.98,8.85,16.37,4.72
P77304,53937.32498,0,0,0,0,1.23,1.06,1.55,34.75
P0AEF8,37454.16911,55,39,39,35,15.85,5.35,7.7,19.14
P67624,8446.2252,0,0,0,0,1.05,1.22,0.44,0.75
P60869,60293.83017,1,2,1,3,130.41,70.21,106.95,9.66
P0AD14,62034.63444,5,4,4,4,51.57,6.71,86.81,28.92
P76085,48903.76066,0,0,0,0,127.7,168.03,0.69,163.04
P24177,112957.1519,0,0,0,0,61.78,30.38,83.38,57.27
P0A8U0,20677.40484,52,42,36,30,9.86,17.91,2.4,17.64
P0AAY6,17636.61984,28,10,7,0,21.8,56.21,93,108.26
P0A7B3,32527.79527,6,6,6,5,40.82,64.21,59.98,31.31
P77783,89911.87075,0,0,0,0,143.11,1.08,95.17,157.24
P36930,27923.59802,2,4,2,3,35.27,69.18,34.67,7.63
P76387,79275.62271,0,0,0,0,166.19,1.42,89.31,144.87
P39384,42697.30798,0,0,0,0,74.79,88.56,9.76,119.25
P71298,53023.10859,5,5,4,4,24.89,9.83,32.36,23.7
P37613,14478.34645,8,4,6,4,18.38,86.16,117.88,81.01
P0A710,20758.42257,3,1,1,1,22.79,36.36,5.92,27.26
P63883,45588.06117,0,0,0,0,152.36,146.35,170.82,151.56
P0C0T5,30099.43575,2,1,1,1,14.27,30.54,42.57,34.41
P52073,38318.46988,0,0,0,0,157.8,33.5,167.21,50.78
P76081,39276.80969,0,0,0,0,0.1,0.84,0.72,0.72
P11349,58010.79932,0,0,0,0,163.12,0.75,126.23,79.57
Q2M7X4,11044.48579,0,0,0,0,0.86,1.26,85.76,72.62
P77252,25969.26141,0,1,0,0,149.72,48.06,165.61,166.95
P76344,24728.12029,0,0,0,0,0.95,135.14,154.07,1
P75804,41010.85652,1,1,0,1,45.94,29.17,86.81,69.28
P75828,63531.18749,0,1,1,1,22.4,47.54,69.49,21.19
P33371,35159.27201,0,0,0,0,100.09,0.65,0.17,1.1
P52097,48156.13499,7,7,7,5,14.63,5.87,63.31,28.68
P63284,95507.92428,0,0,0,0,77.84,17.61,39.64,73.8
P0AEL3,8347.49547,0,0,0,0,154.57,164.96,137.94,1.25
P75822,53655.27385,3,3,1,4,62.25,34.83,75.18,33.58
P0ACX9,7094.82028,1,1,0,0,66.19,81.07,157.43,156.43
P0A6X1,46260.11892,1,5,0,3,120.77,96.23,160.12,34.09
P14294,73153.04607,1,1,1,1,8.75,13.77,59.93,28.77
P0ACS2,17121.0724,1,1,0,2,104.23,72.58,150.39,43
P0AA97,20845.49274,1,1,1,0,58.17,50.17,49.32,70.35
P0AB83,23529.40171,4,4,1,2,14.15,13.43,127.9,73.54
P23862,20344.80503,8,8,8,5,19.26,24.87,30.25,16.06
P77433,25178.92327,0,3,1,0,141.71,77.14,87.95,159.2
