Entry	Entry name	Protein names	Gene names	Organism	Length	Mass	Gene names  (synonym )	Gene names  (primary )	Gene names  (ORF )	Gene names  (ordered locus )	Cross-reference (Pfam)	Cross-reference (SUPFAM)	Protein families	3D
P22213	SLY1_YEAST	Protein SLY1 (Suppressor of loss of YPT1 protein 1)	SLY1 YDR189W YD9346.01 YD9395.22	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	666	74,679		SLY1	YD9346.01 YD9395.22	YDR189W	PF00995;	SSF56815;	STXBP/unc-18/SEC1 family	X-ray crystallography (1)
Q01684	SPR6_YEAST	Sporulation-specific protein (SPR6)	SPR6 YER115C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	191	21,512		SPR6		YER115C				
P32914	SPT4_YEAST	Transcription elongation factor SPT4 (Chromatin elongation factor SPT4)	SPT4 YGR063C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	102	11,158		SPT4		YGR063C	PF06093;	SSF63393;	SPT4 family	X-ray crystallography (1)
P16658	SEN2_YEAST	tRNA-splicing endonuclease subunit SEN2 (EC 4.6.1.16) (Splicing endonuclease protein 2) (tRNA-intron endonuclease SEN2)	SEN2 YLR105C L8004.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	377	44,109		SEN2	L8004.12	YLR105C	PF01974;	SSF53032;	TRNA-intron endonuclease family	
P32432	SFP1_YEAST	Transcription factor SFP1 (Split finger protein 1)	SFP1 YLR403W L8084.4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	683	74,785		SFP1	L8084.4	YLR403W		SSF57667;		
Q00416	SEN1_YEAST	Helicase SEN1 (EC 3.6.4.-) (tRNA-splicing endonuclease positive effector)	SEN1 YLR430W L9576.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2231	252,497		SEN1	L9576.1	YLR430W	PF13086;PF13087;PF12726;	SSF52540;	DNA2/NAM7 helicase family	NMR spectroscopy (1); X-ray crystallography (5)
P40210	SIP5_YEAST	Protein SIP5 (SNF1-interacting protein 5)	SIP5 YMR140W YM9375.09	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	489	55,859		SIP5	YM9375.09	YMR140W			SIP5 family	
Q02825	SEN54_YEAST	tRNA-splicing endonuclease subunit SEN54 (Splicing endonuclease of 54 kDa) (tRNA-intron endonuclease SEN54)	SEN54 YPL083C LPF3C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	467	54,649		SEN54	LPF3C	YPL083C	PF12928;		SEN54 family	
P39707	SEN34_YEAST	tRNA-splicing endonuclease subunit SEN34 (EC 4.6.1.16) (Splicing endonuclease of 34 kDa) (tRNA-intron endonuclease SEN34)	SEN34 YAR008W FUN4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	275	31,313		SEN34	FUN4	YAR008W	PF01974;	SSF53032;	TRNA-intron endonuclease family	
P35180	TOM20_YEAST	Mitochondrial import receptor subunit TOM20 (Mitochondrial 20 kDa outer membrane protein) (Protein MAS20) (Translocase of outer membrane 20 kDa subunit)	TOM20 MAS20 MOM19 YGR082W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	183	20,317	MAS20 MOM19	TOM20		YGR082W	PF02064;	SSF47157;	Tom20 family	
P49334	TOM22_YEAST	Mitochondrial import receptor subunit TOM22 (Mitochondrial 17 kDa assembly protein) (Mitochondrial 22 kDa outer membrane protein) (Protein MAS17) (Translocase of outer membrane 22 kDa subunit)	TOM22 MAS17 MAS22 MOM22 YNL131W N1217 N1862	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	152	16,790	MAS17 MAS22 MOM22	TOM22	N1217 N1862	YNL131W	PF04281;		Tom22 family	Electron microscopy (3)
P52286	SKP1_YEAST	Suppressor of kinetochore protein 1 (Centromere DNA-binding protein complex CBF3 subunit D) (E3 ubiquitin ligase complex SCF subunit SKP1)	SKP1 CBF3D YDR328C D9798.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	194	22,330	CBF3D	SKP1	D9798.14	YDR328C	PF01466;PF03931;	SSF54695;SSF81382;	SKP1 family	Electron microscopy (7); X-ray crystallography (4)
P39000	SHC1_YEAST	Protein SHC1 (Sporulation-specific homolog of CSD4)	SHC1 YER096W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	512	56,578		SHC1		YER096W	PF08238;		SKT5 family	
P45819	SPO74_YEAST	Sporulation-specific protein 74	SPO74 YGL170C G1654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	413	47,700		SPO74	G1654	YGL170C				
P53538	SSU72_YEAST	RNA polymerase II subunit A C-terminal domain phosphatase SSU72 (CTD phosphatase SSU72) (EC 3.1.3.16) (Suppressor of SUA7 protein 2)	SSU72 YNL222W N1279	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	206	23,469		SSU72	N1279	YNL222W	PF04722;		SSU72 phosphatase family	
P32558	SPT16_YEAST	FACT complex subunit SPT16 (Cell division control protein 68) (Facilitates chromatin transcription complex subunit SPT16) (Suppressor of Ty protein 16)	SPT16 CDC68 SSF1 YGL207W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1035	118,630	CDC68 SSF1	SPT16		YGL207W	PF14826;PF00557;PF08512;PF08644;	SSF55920;	Peptidase M24 family, SPT16 subfamily	Electron microscopy (1); X-ray crystallography (5)
Q03175	SRT1_YEAST	Dehydrodolichyl diphosphate synthase complex subunit SRT1 (EC 2.5.1.87) (Ditrans,polycis-polyprenyl diphosphate synthase ((2E,6E)-farnesyl diphosphate specific))	SRT1 YMR101C YM6543.08C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	343	40,200		SRT1	YM6543.08C	YMR101C	PF01255;	SSF64005;	UPP synthase family	
P50875	SPT20_YEAST	Transcription factor SPT20	SPT20 ADA5 YOL148C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	604	67,796	ADA5	SPT20		YOL148C	PF12090;		SPT20 family	Electron microscopy (3)
Q03012	SPP1_YEAST	COMPASS component SPP1 (Complex proteins associated with SET1 protein SPP1) (Set1C component SPP1) (Suppressor of PRP protein 1)	SPP1 CPS40 SAF41 YPL138C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	353	41,468	CPS40 SAF41	SPP1		YPL138C	PF00628;	SSF57903;		Electron microscopy (2); X-ray crystallography (1)
P35210	SPT23_YEAST	Protein SPT23	SPT23 YKL020C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1082	121,338		SPT23		YKL020C	PF12796;PF01833;	SSF48403;SSF81296;		
P32603	SPR1_YEAST	Sporulation-specific glucan 1,3-beta-glucosidase (EC 3.2.1.58) (Exo-1,3-beta-glucanase)	SPR1 SSG1 YOR190W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	445	51,809	SSG1	SPR1		YOR190W	PF00150;	SSF51445;	Glycosyl hydrolase 5 (cellulase A) family	
P38789	SSF1_YEAST	Ribosome biogenesis protein SSF1	SSF1 YHR066W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	453	51,764		SSF1		YHR066W	PF04427;			Electron microscopy (1)
P08459	SPS2_YEAST	Sporulation-specific protein 2	SPS2 YDR522C D9719.26	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	502	55,939		SPS2	D9719.26	YDR522C			SPS2 family	
Q03784	TRS23_YEAST	Trafficking protein particle complex subunit 23 (TRAPP subunit 23) (Transport protein particle 23 kDa subunit)	TRS23 YDR246W YD8419.13	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	219	24,863		TRS23	YD8419.13	YDR246W	PF04099;	SSF64356;	TRAPP small subunits family, TRAPPC4 subfamily	Electron microscopy (1); X-ray crystallography (1)
Q04969	SPC2_YEAST	Signal peptidase complex subunit 2 (Microsomal signal peptidase subunit 2)	SPC2 SPY1 YML055W YM9958.07	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	178	20,802	SPY1	SPC2	YM9958.07	YML055W	PF06703;		SPCS2 family	
P38637	STS1_YEAST	Tethering factor for nuclear proteasome STS1 (Dumbbell former protein 8) (SEC23 suppressor 1)	STS1 DBF8 SSM5 YIR011C YIB11C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	319	36,485	DBF8 SSM5	STS1	YIB11C	YIR011C	PF08559;		Cut8/STS1 family	
P38353	SSH1_YEAST	Sec sixty-one protein homolog (Ssh1 complex subunit SSH1) (Ssh1 complex subunit alpha)	SSH1 YBR283C YBR2020	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	490	53,312		SSH1	YBR2020	YBR283C	PF10559;PF00344;	SSF103491;	SecY/SEC61-alpha family	Electron microscopy (2)
P32343	SSH4_YEAST	Protein SSH4 (Multicopy suppressor of leflunomide protein 4) (Suppressor of SHR3 null mutation protein 4)	SSH4 MLF4 YKL124W YKL529	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	579	65,061	MLF4	SSH4	YKL529	YKL124W	PF00622;	SSF49899;	SSH4 family	
Q12038	SRO7_YEAST	Lethal(2) giant larvae protein homolog SRO7 (Polarity protein SRO7) (Sodium protection protein 1) (Suppressor of RHO3 protein 7)	SRO7 SNI1 SOP1 YPR032W YP9367.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1033	114,513	SNI1 SOP1	SRO7	YP9367.12	YPR032W	PF08596;	SSF50978;	WD repeat L(2)GL family	X-ray crystallography (1)
Q99176	SRN2_YEAST	Protein SRN2 (ESCRT-I complex subunit VPS37) (Vacuolar protein sorting-associated protein 37)	SRN2 SRN10 VPS37 YLR119W L2958 L9233.5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	213	25,101	SRN10 VPS37	SRN2	L2958 L9233.5	YLR119W	PF07200;	SSF140111;	VPS37 family	X-ray crystallography (3)
P47002	SSY5_YEAST	SPS-sensor serine protease component SSY5 (Endoprotease SSY5)	SSY5 APF8 YJL156C J0570	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	699	77,527	APF8	SSY5	J0570	YJL156C	PF08192;	SSF50494;	Peptidase S64 family	
P54000	SUB1_YEAST	RNA polymerase II transcriptional coactivator SUB1	SUB1 TSP1 YMR039C YM9532.04C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	292	33,102	TSP1	SUB1	YM9532.04C	YMR039C	PF02229;	SSF54447;	Transcriptional coactivator PC4 family	
Q12504	RKM4_YEAST	Ribosomal lysine N-methyltransferase 4 (EC 2.1.1.-) (SET domain-containing protein 7)	RKM4 RMS1 SET7 YDR257C YD9320A.07C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	494	57,289	RMS1 SET7	RKM4	YD9320A.07C	YDR257C	PF00856;		Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, SETD6 subfamily	
P0CX50	RL18B_YEAST	60S ribosomal protein L18-B (Large ribosomal subunit protein eL18-B) (RP28)	RPL18B RP28B YNL301C N0425	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	186	20,563	RP28B	RPL18B	N0425	YNL301C	PF17135;	SSF52080;	Eukaryotic ribosomal protein eL18 family	Electron microscopy (1)
P02406	RL28_YEAST	60S ribosomal protein L28 (L27a) (L29) (Large ribosomal subunit protein uL15) (RP44) (RP62) (YL24)	RPL28 CYH2 YGL103W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	149	16,722	CYH2	RPL28		YGL103W	PF00828;	SSF52080;	Universal ribosomal protein uL15 family	Electron microscopy (76); X-ray crystallography (38)
P0CX85	RL35B_YEAST	60S ribosomal protein L35-B (Large ribosomal subunit protein uL29-B)	RPL35B SOS2 YDL136W D2170	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	120	13,910	SOS2	RPL35B	D2170	YDL136W	PF00831;	SSF46561;	Universal ribosomal protein uL29 family	Electron microscopy (2)
Q12213	RL7B_YEAST	60S ribosomal protein L7-B (L6) (Large ribosomal subunit protein uL30-B) (RP11) (YL8)	RPL7B RPL6B YL8B YPL198W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	244	27,696	RPL6B YL8B	RPL7B		YPL198W	PF00327;PF08079;	SSF55129;	Universal ribosomal protein uL30 family	
P51862	ROM2_YEAST	RHO1 GDP-GTP exchange protein 2	ROM2 YLR371W L8039.3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1356	152,596		ROM2	L8039.3	YLR371W	PF00780;PF00610;PF15405;PF00621;	SSF46785;SSF48065;		
P53313	SDA1_YEAST	Protein SDA1 (Severe depolymerization of actin protein 1)	SDA1 YGR245C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	767	86,618		SDA1		YGR245C	PF08158;PF05285;	SSF48371;	SDA1 family	Electron microscopy (4)
P29478	SEC65_YEAST	Signal recognition particle subunit SEC65	SEC65 YML105C YM8339.14C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	273	31,170		SEC65	YM8339.14C	YML105C	PF01922;	SSF69695;		
P33754	SEC66_YEAST	Translocation protein SEC66 (Protein HSS1) (Sec62/63 complex 31.5 kDa subunit)	SEC66 HSS1 SEC71 YBR171W YBR1232	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	206	24,231	HSS1 SEC71	SEC66	YBR1232	YBR171W	PF09802;			Electron microscopy (14)
P32349	RPC3_YEAST	DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3) (C82) (DNA-directed III 74 kDa polypeptide) (C74)	RPC82 RPC3 YPR190C P9677.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	654	74,017	RPC3	RPC82	P9677.11	YPR190C	PF08221;PF05645;		Eukaryotic RPC3/POLR3C RNA polymerase subunit family	Electron microscopy (16)
Q02805	ROD1_YEAST	Protein ROD1 (Resistance to o-dinitrobenzene protein 1)	ROD1 YOR018W OR26.08	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	837	92,349		ROD1	OR26.08	YOR018W	PF02752;PF00339;		Arrestin family	
Q01080	RPA49_YEAST	DNA-directed RNA polymerase I subunit RPA49 (A49) (DNA-directed RNA polymerase I 49 kDa polypeptide)	RPA49 RRN13 YNL248C N0880	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	415	46,651	RRN13	RPA49	N0880	YNL248C	PF06870;		Eukaryotic RPA49/POLR1E RNA polymerase subunit family	Electron microscopy (28); X-ray crystallography (7)
P46669	RPA43_YEAST	DNA-directed RNA polymerase I subunit RPA43 (A43) (DNA-directed DNA-dependent RNA polymerase 36 kDa polypeptide)	RPA43 RRN12 YOR340C O6271	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	326	36,224	RRN12	RPA43	O6271	YOR340C	PF17875;PF03876;		Eukaryotic RPA43 RNA polymerase subunit family	Electron microscopy (31); X-ray crystallography (6)
P53875	RM19_YEAST	54S ribosomal protein L19, mitochondrial (Mitochondrial large ribosomal subunit protein uL11m) (YmL19)	MRPL19 YNL185C N1623	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	158	16,670		MRPL19	N1623	YNL185C	PF00298;PF03946;	SSF46906;SSF54747;	Universal ribosomal protein uL11 family	
P36527	RM28_YEAST	54S ribosomal protein L28, mitochondrial (Mitochondrial large ribosomal subunit protein mL40) (YmL28)	MRPL28 YDR462W D8035.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	147	17,342		MRPL28	D8035.6	YDR462W	PF09812;		Mitochondrion-specific ribosomal protein mL40 family	Electron microscopy (4)
P38771	RRF1_YEAST	Ribosome-recycling factor, mitochondrial (RRF) (Ribosome-releasing factor, mitochondrial)	RRF1 FIL1 KIM4 YHR038W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	230	26,407	FIL1 KIM4	RRF1		YHR038W	PF01765;	SSF55194;	RRF family	
Q01855	RS15_YEAST	40S ribosomal protein S15 (RIG protein) (RP52) (S21) (Small ribosomal subunit protein uS19) (YS21)	RPS15 RPS21 YOL040C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	142	16,002	RPS21	RPS15		YOL040C	PF00203;	SSF54570;	Universal ribosomal protein uS19 family	Electron microscopy (46); X-ray crystallography (37)
P32573	SPS19_YEAST	Peroxisomal 2,4-dienoyl-CoA reductase SPS19 [(3E)-enoyl-CoA-producing] (EC 1.3.1.124) (Sporulation-specific protein SPX19)	SPS19 SPX19 YNL202W N1362	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	292	31,109	SPX19	SPS19	N1362	YNL202W		SSF51735;	Short-chain dehydrogenases/reductases (SDR) family	
Q08285	RRP40_YEAST	Exosome complex component RRP40 (Ribosomal RNA-processing protein 40)	RRP40 YOL142W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	240	26,556		RRP40		YOL142W	PF15985;PF18311;	SSF50249;SSF54791;	RRP40 family	Electron microscopy (6); X-ray crystallography (9)
P38192	RRT1_YEAST	Regulator of rDNA transcription protein 1	RRT1 YBL048W YBL0519	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	103	12,447		RRT1	YBL0519	YBL048W				
Q3E7X9	RS28A_YEAST	40S ribosomal protein S28-A (S33) (Small ribosomal subunit protein eS28-A) (YS27)	RPS28A RPS33 RPS33A YOR167C O3600	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	67	7,592	RPS33 RPS33A	RPS28A	O3600	YOR167C	PF01200;	SSF50249;	Eukaryotic ribosomal protein eS28 family	Electron microscopy (61); X-ray crystallography (38)
P53047	RTA1_YEAST	Protein RTA1	RTA1 YGR213C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	317	35,486		RTA1		YGR213C	PF04479;		Lipid-translocating exporter (LTE) (TC 9.A.26.1) family	
P25443	RS2_YEAST	40S ribosomal protein S2 (Omnipotent suppressor protein SUP44) (RP12) (S4) (Small ribosomal subunit protein uS5) (YS5)	RPS2 RPS4 SUP38 SUP44 YGL123W G2893	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	254	27,450	RPS4 SUP38 SUP44	RPS2	G2893	YGL123W	PF00333;PF03719;	SSF54211;	Universal ribosomal protein uS5 family	Electron microscopy (47); X-ray crystallography (38)
P03882	SCE1_YEAST	Intron-encoded endonuclease I-SceI (EC 3.1.-.-) (21S rRNA intron maturase) (Homing endonuclease omega)	SCEI OMEGA SECY Q0160	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	235	27,683	OMEGA SECY	SCEI		Q0160	PF03161;	SSF55608;	LAGLIDADG endonuclease family	X-ray crystallography (6)
P38814	SBE22_YEAST	Protein SBE22	SBE22 YHR103W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	852	96,398		SBE22		YHR103W	PF17076;		SBE2 family	
P03878	SCE2_YEAST	Intron-encoded DNA endonuclease aI4 (DNA endonuclease I-SceII) [Cleaved into: Truncated non-functional cytochrome oxidase 1; DNA endonuclease aI4 (EC 3.1.-.-) (Intron-encoded endonuclease I-SceII)]	AI4 ENS2 I-SCEII Q0065	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	556	63,311	ENS2 I-SCEII	AI4		Q0065	PF00115;PF00961;	SSF55608;SSF81442;	LAGLIDADG endonuclease family; Heme-copper respiratory oxidase family	
P36047	SDS22_YEAST	Protein phosphatase 1 regulatory subunit SDS22	SDS22 EGP1 YKL193C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	338	38,887	EGP1	SDS22		YKL193C	PF00560;PF13516;PF13855;		SDS22 family	
P50110	SAM37_YEAST	Sorting assembly machinery 37 kDa subunit (MAS37 protein) (Mitochondrial 37 kDa outer membrane protein)	SAM37 MAS37 PET3027 TOM37 YMR060C YM9796.13C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	327	37,493	MAS37 PET3027 TOM37	SAM37	YM9796.13C	YMR060C	PF10568;PF11801;			Electron microscopy (4)
P11655	SEC12_YEAST	Guanine nucleotide-exchange factor SEC12 (Protein transport protein SEC12)	SEC12 SED2 YNR026C N3244	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	471	51,608	SED2	SEC12	N3244	YNR026C			WD repeat SEC12 family	X-ray crystallography (3)
P35179	SC61G_YEAST	Protein transport protein SSS1 (Sec61 complex subunit SSS1) (Sec61 complex subunit gamma) (Ssh1 complex subunit SSS1) (Ssh1 complex subunit gamma)	SSS1 YDR086C D4475	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	80	8,944		SSS1	D4475	YDR086C	PF00584;	SSF103456;	SecE/SEC61-gamma family	Electron microscopy (16)
P48415	SEC16_YEAST	COPII coat assembly protein SEC16 (Protein transport protein SEC16)	SEC16 YPL085W LPF1W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2195	241,696		SEC16	LPF1W	YPL085W	PF12932;PF12931;PF12935;		SEC16 family	X-ray crystallography (1)
P25357	SNT1_YEAST	Probable DNA-binding protein SNT1 (SANT domain-containing protein 1)	SNT1 YCR033W YCR33W YCR592	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1226	138,397		SNT1	YCR33W YCR592	YCR033W	PF00249;	SSF46689;		
P32897	TIM23_YEAST	Mitochondrial import inner membrane translocase subunit TIM23 (Membrane import machinery protein MIM23) (Mitochondrial protein import protein 3) (Mitochondrial protein import protein MAS6)	TIM23 MAS6 MIM23 MPI3 YNR017W N3180	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	222	23,244	MAS6 MIM23 MPI3	TIM23	N3180	YNR017W			Tim17/Tim22/Tim23 family	
P53266	SHY1_YEAST	Cytochrome oxidase assembly protein SHY1 (SURF1 homolog of Yeast) (SURF1-like protein)	SHY1 YGR112W G6150	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	389	45,056		SHY1	G6150	YGR112W	PF02104;		SURF1 family	
P56508	SNA2_YEAST	Protein SNA2	SNA2 YDR525W-A YDR525BW	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	79	9,180		SNA2	YDR525BW	YDR525W-A	PF01679;		UPF0057 (PMP3) family	
Q04658	SMA2_YEAST	Spore membrane assembly protein 2	SMA2 YML066C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	369	40,872		SMA2		YML066C			SMA2 family	
P53148	SP105_YEAST	Spindle pole body component SPC105 (105 kDa spindle pole component protein)	SPC105 YGL093W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	917	104,826		SPC105		YGL093W	PF18210;PF08317;			X-ray crystallography (1)
Q12118	SGT2_YEAST	Small glutamine-rich tetratricopeptide repeat-containing protein 2 (SGT/UBP) (Viral protein U-binding protein)	SGT2 YOR007C UNF346	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	346	37,218		SGT2	UNF346	YOR007C	PF16546;PF00515;	SSF48452;	SGT family	NMR spectroscopy (4); X-ray crystallography (3)
P38956	SNF11_YEAST	Transcription regulatory protein SNF11 (SWI/SNF complex component SNF11)	SNF11 YDR073W D4411	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	169	18,667		SNF11	D4411	YDR073W				
Q04007	SND1_YEAST	SRP-independent targeting protein 1	SND1 YDR186C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	877	98,331		SND1		YDR186C				
P53628	SNF12_YEAST	Transcription regulatory protein SNF12 (SWI/SNF complex component SWP73)	SNF12 SWP73 YNR023W N3224	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	566	63,871	SWP73	SNF12	N3224	YNR023W		SSF47592;		Electron microscopy (3)
